doc_id,afinn_score,bing_score,kaggle_score,loghran_score,nrc_score
116,0,-0.076923077,0,-0.5,-1
117,-0.941176471,-0.071428571,0,-0.5,0.1
118,0,0.12,0,-0.666666667,0.333333333
119,-0.761904762,0.136363636,5,-0.368421053,0.238095238
120,-1.034482759,-0.104477612,1.7,-0.37254902,0.205479452
121,-1.175438596,-0.123809524,0,-0.538461538,0
122,-1.051724138,-0.044776119,-5,-0.346938776,0.210526316
123,-0.914285714,0.068965517,0,-0.35483871,0.230769231
124,1,-0.2,5,-1,-1
125,-0.702702703,0.064516129,0,-0.393939394,0.2
126,-0.85,0.111111111,0,-0.444444444,0.44
127,-0.166666667,0.238095238,0,-0.6,1
128,-1,-0.066666667,0,-0.333333333,0.333333333
129,-0.698113208,0.069306931,-5,-0.633333333,0.169811321
130,-0.5,-0.333333333,-5,-1,-0.666666667
131,-0.25,-0.230769231,-1.1,-1,-0.555555556
132,-0.947368421,-0.083333333,-5,-0.652173913,0.166666667
133,-0.272727273,0.071428571,-5,-0.875,0
134,-1.189189189,-0.048780488,-4.166666667,-0.343283582,0.221052632
135,-0.926829268,-0.081967213,-4.166666667,-0.56097561,0.142857143
136,0.444444444,0.333333333,0,-0.866666667,0.272727273
137,-0.784946237,0.076923077,3.3,-0.379310345,0.302752294
138,-0.621212121,0.133333333,-0.85,-0.415384615,0.298701299
139,-0.796296296,0.128205128,-2.233333333,-0.379310345,0.287671233
140,-0.85,0.072463768,0,-0.411764706,0.317647059
141,-0.913043478,0.057692308,0,-0.387096774,0.292682927
142,-0.964705882,0.026086957,0,-0.371428571,0.28
143,-0.85,0.072463768,0,-0.420289855,0.317647059
144,-1.020833333,0.037593985,0,-0.364705882,0.277310924
145,-0.884297521,0.024096386,-5,-0.436363636,0.232876712
146,-0.975903614,-0.017241379,0,-0.38028169,0.267326733
147,-1.101694915,-0.142857143,-5,-0.346938776,0.184210526
148,-1.015384615,-0.060240964,-5,-0.381818182,0.205128205
149,-0.944444444,-0.018181818,-5,-0.4,0.2
150,-0.517241379,0.044776119,5,-0.538461538,0.230769231
151,-0.681818182,0.045454545,5,-0.5,0.217391304
152,-0.608695652,0.045454545,5,-0.5,0.166666667
153,-0.861111111,0.033333333,5,-0.393939394,0.238095238
154,-0.901960784,0.025641026,5,-0.48,0.242424242
155,-0.854166667,-0.044776119,-5,-0.446808511,0.181818182
156,-0.657142857,-0.24,-5,-0.555555556,0.130434783
157,-0.75,-0.25,0,-0.555555556,0.166666667
158,-0.878787879,-0.227272727,0,-0.448275862,0.19047619
159,-0.857142857,0,0,-0.423076923,0.245901639
160,-0.608695652,0.043478261,0,-0.538461538,0.153846154
161,-0.861111111,-0.01754386,0,-0.411764706,0.219512195
162,-0.810810811,-0.052631579,0,-0.393939394,0.19047619
163,-1.2,-0.106382979,2.5,-0.384615385,0.206896552
164,-0.979591837,-0.013333333,-2.5,-0.363636364,0.233333333
165,1,0.428571429,0,-0.6,0.272727273
166,1,0.555555556,3.3,-0.4,0.5
167,1.2,0.230769231,-0.85,-0.625,0.076923077
168,-1.045454545,-0.083333333,0,-0.347826087,0.26984127
169,0,0.267605634,0,-0.6,0.578947368
170,1,0.2,0,-0.6,0.272727273
171,-0.924242424,-0.022727273,0,-0.420289855,0.266666667
172,-0.727272727,0.023809524,-1.7,-0.5,0.194444444
173,-0.578947368,-0.103448276,0,-0.517241379,0.161290323
174,1,0.090909091,0,-0.454545455,0.333333333
175,-0.761904762,0.085714286,0,-0.411764706,0.238095238
176,0,0.272727273,0,-0.6,0.333333333
177,-0.875,0.304347826,0,-0.6,0.153846154
178,-0.875,0,0,-0.529411765,0.090909091
179,-0.914285714,0.058823529,0,-0.470588235,0.219512195
180,0,0.238095238,0,-0.6,0.333333333
181,1.090909091,0.2,0,-0.866666667,0.2
